Frequency (Hz),Capacitance (F),Impedance (O),Phase Angle (D)
1000.000,16.736,9507800.000,-88.077
1200.000,16.482,8046290.000,-88.323
1250.000,16.334,7790870.000,-88.050
1500.000,15.600,6798140.000,-88.088
1600.000,15.807,6293130.000,-88.500
1660.000,15.918,6021820.000,-88.710
2000.000,16.450,4837750.000,-89.315
2400.000,16.531,4011690.000,-89.165
2500.000,16.541,3849620.000,-89.109
3000.000,16.524,3210780.000,-89.262
3200.000,16.543,3006730.000,-89.199
3330.000,16.554,2887520.000,-89.173
4000.000,16.604,2396660.000,-89.156
4800.000,16.482,2011560.000,-89.231
5000.000,16.460,1933970.000,-89.332
6000.000,16.426,1615040.000,-89.313
6400.000,16.405,1516020.000,-89.298
6660.000,16.392,1457910.000,-89.290
8000.000,16.340,1217500.000,-89.240
9600.000,16.395,1011460.000,-89.298
10000.000,16.403,970360.000,-89.302
12000.000,16.295,813972.000,-89.280
12500.000,16.307,780849.000,-89.280
15000.000,16.352,648921.000,-89.269
16000.000,16.344,608662.000,-89.264
16600.000,16.339,586833.000,-89.260
20000.000,16.316,487773.000,-89.240
24000.000,16.284,407259.000,-89.204
25000.000,16.277,391149.000,-89.197
30000.000,16.271,326080.000,-89.204
32000.000,16.257,305966.000,-89.192
33300.000,16.248,294175.000,-89.183
40000.000,16.210,245482.000,-89.144
48000.000,16.184,204889.000,-89.118
50000.000,16.178,196768.000,-89.112
60000.000,16.157,164184.000,-89.089
64000.000,16.146,154031.000,-89.081
66600.000,16.139,148081.000,-89.077
80000.000,16.105,123530.000,-89.062
96000.000,16.079,103118.000,-89.040
100000.000,16.073,99018.800,-89.029
120000.000,16.049,82643.100,-88.976
125000.000,16.038,79393.000,-88.972
150000.000,15.989,66361.700,-88.975
160000.000,15.971,62283.100,-88.946
166000.000,15.961,60069.500,-88.928
200000.000,15.915,49998.900,-88.825
240000.000,15.900,41706.500,-88.926
250000.000,15.898,40044.600,-88.947
300000.000,15.874,33421.200,-88.931
320000.000,15.849,31382.200,-88.944
333000.000,15.834,30185.800,-88.956
400000.000,15.772,25225.700,-89.024
480000.000,15.801,20983.600,-88.876
500000.000,15.807,20136.100,-88.850
600000.000,15.791,16797.600,-88.819
640000.000,15.789,15749.300,-88.811
666000.000,15.788,15135.400,-88.805
800000.000,15.789,12599.900,-88.770
960000.000,15.810,10485.100,-88.716
1000000.000,15.833,10051.600,-88.732
#,#,#,#
