Voltage (V),Capacitance (F),Impedance (O),Phase Angle (D)
-2.000,33.738,3750910.000,-52.435
-1.900,33.737,3751030.000,-52.428
-1.800,33.727,3750820.000,-52.442
-1.700,33.729,3738130.000,-52.279
-1.600,33.715,3730520.000,-52.177
-1.500,33.715,3723340.000,-52.091
-1.400,33.713,3720410.000,-52.051
-1.300,33.709,3720520.000,-52.052
-1.200,33.703,3725120.000,-52.114
-1.100,33.700,3728060.000,-52.147
-1.000,33.694,3728780.000,-52.145
-0.900,33.691,3729880.000,-52.169
-0.800,33.691,3730890.000,-52.188
-0.700,33.692,3736450.000,-52.257
-0.600,33.687,3740980.000,-52.328
-0.500,33.683,3742350.000,-52.319
-0.400,33.680,3744250.000,-52.351
-0.300,33.680,3746770.000,-52.376
-0.200,33.673,3749500.000,-52.415
-0.100,33.676,3750530.000,-52.436
0.000,33.678,3750990.000,-52.448
0.100,33.678,3751360.000,-52.456
0.200,33.673,3752190.000,-52.464
0.300,33.671,3752620.000,-52.467
0.400,33.666,3751930.000,-52.456
0.500,33.667,3751260.000,-52.451
0.600,33.659,3752300.000,-52.458
0.700,33.655,3755200.000,-52.494
0.800,33.652,3756390.000,-52.506
0.900,33.641,3756970.000,-52.514
1.000,33.643,3757230.000,-52.531
1.100,33.646,3756370.000,-52.512
1.200,33.644,3755810.000,-52.505
1.300,33.639,3756230.000,-52.505
1.400,33.635,3756770.000,-52.503
1.500,33.637,3756450.000,-52.508
1.600,33.642,3755970.000,-52.508
1.700,33.653,3756440.000,-52.506
1.800,33.655,3756300.000,-52.504
1.900,33.662,3755540.000,-52.498
2.000,33.663,3756370.000,-52.508
2.100,33.671,3756610.000,-52.507
2.200,33.674,3757500.000,-52.529
2.300,33.675,3757500.000,-52.527
2.400,33.682,3757310.000,-52.532
2.500,33.679,3757320.000,-52.528
2.600,33.680,3756070.000,-52.504
2.700,33.680,3756990.000,-52.517
2.800,33.669,3756080.000,-52.507
2.900,33.661,3755170.000,-52.495
3.000,33.656,3754390.000,-52.487
#,#,#,#
