Pattern,Board ID,Sensor,Status,Time to Failure (ms),Current,Location,Date,Solution,Voltage,Notes,CV_Post,CF_Post,Tags,CV_Baseline,CF_Baseline,pH,Image_PRISTINE,Image_EXPOSED,Dendrite Score,R_PRISTINE,G_PRISTINE,B_PRISTINE,R_EXPOSED,G_EXPOSED,B_EXPOSED,Brightness Pristine,Brightness Exposed,Brightness Difference
1.0,03_01_0001,U1,Not started,,,,,,,,,,,03_01_0001_U1_20240411_CV_0.csv,03_01_0001_U1_20240411_CF_0.csv,,03_01_0246_000_U1.jpg,,,,,,,,,,,
1.0,03_01_0001,U2,Not started,,,,,,,,,,,03_01_0001_U2_20240411_CV_0.csv,03_01_0001_U2_20240411_CF_0.csv,,03_01_0246_000_U2.jpg,,,,,,,,,,,
1.0,03_01_0001,U3,Not started,,,,,,,,,,,03_01_0001_U3_20240411_CV_0.csv,03_01_0001_U3_20240411_CF_0.csv,,03_01_0246_000_U3.jpg,,,,,,,,,,,
1.0,03_01_0001,U4,Not started,,,,,,,,,,,03_01_0001_U4_20240411_CV_0.csv,03_01_0001_U4_20240411_CF_0.csv,,03_01_0246_000_U4.jpg,,,,,,,,,,,
1.0,03_01_0006,U1,Not started,,,,,,,,,,,03_01_0006_U1_20240411_CV_0.csv,03_01_0006_U1_20240411_CF_0.csv,,03_01_0246_000_U1.jpg,,,,,,,,,,,
1.0,03_01_0006,U2,Not started,,,,,,,,,,,03_01_0006_U2_20240411_CV_0.csv,03_01_0006_U2_20240411_CF_0.csv,,03_01_0246_000_U2.jpg,,,,,,,,,,,
1.0,03_01_0006,U3,Not started,,,,,,,,,,,03_01_0006_U3_20240411_CV_0.csv,03_01_0006_U3_20240411_CF_0.csv,,03_01_0246_000_U3.jpg,,,,,,,,,,,
1.0,03_01_0006,U4,Not started,,,,,,,,,,,03_01_0006_U4_20240411_CV_0.csv,03_01_0006_U4_20240411_CF_0.csv,,03_01_0246_000_U4.jpg,,,,,,,,,,,
1.0,03_01_0011,U1,Not started,,,,,,,,,,,03_01_0011_U1_20240411_CV_0.csv,03_01_0011_U1_20240411_CF_0.csv,,03_01_0246_000_U1.jpg,,,,,,,,,,,
1.0,03_01_0011,U2,Not started,,,,,,,,,,,03_01_0011_U2_20240411_CV_0.csv,03_01_0011_U2_20240411_CF_0.csv,,03_01_0246_000_U2.jpg,,,,,,,,,,,
1.0,03_01_0011,U3,Not started,,,,,,,,,,,03_01_0011_U3_20240411_CV_0.csv,03_01_0011_U3_20240411_CF_0.csv,,03_01_0246_000_U3.jpg,,,,,,,,,,,
1.0,03_01_0011,U4,Not started,,,,,,,,,,,03_01_0011_U4_20240411_CV_0.csv,03_01_0011_U4_20240411_CF_0.csv,,03_01_0246_000_U4.jpg,,,,,,,,,,,
1.0,03_01_0016,U1,Not started,,,,,,,,,,,03_01_0016_U1_20240411_CV_0.csv,03_01_0016_U1_20240411_CF_0.csv,,03_01_0246_000_U1.jpg,,,,,,,,,,,
1.0,03_01_0016,U2,Not started,,,,,,,,,,,03_01_0016_U2_20240411_CV_0.csv,03_01_0016_U2_20240411_CF_0.csv,,03_01_0246_000_U2.jpg,,,,,,,,,,,
1.0,03_01_0016,U3,Not started,,,,,,,,,,,03_01_0016_U3_20240411_CV_0.csv,03_01_0016_U3_20240411_CF_0.csv,,03_01_0246_000_U3.jpg,,,,,,,,,,,
1.0,03_01_0016,U4,Not started,,,,,,,,,,,03_01_0016_U4_20240411_CV_0.csv,03_01_0016_U4_20240411_CF_0.csv,,03_01_0246_000_U4.jpg,,,,,,,,,,,
1.0,03_01_0021,U1,Not started,,,,,,,,,,,03_01_0021_U1_20240411_CV_0.csv,03_01_0021_U1_20240411_CF_0.csv,,03_01_0246_000_U1.jpg,,,,,,,,,,,
1.0,03_01_0021,U2,Not started,,,,,,,,,,,03_01_0021_U2_20240411_CV_0.csv,03_01_0021_U2_20240411_CF_0.csv,,03_01_0246_000_U2.jpg,,,,,,,,,,,
1.0,03_01_0021,U3,Not started,,,,,,,,,,,03_01_0021_U3_20240411_CV_0.csv,03_01_0021_U3_20240411_CF_0.csv,,03_01_0246_000_U3.jpg,,,,,,,,,,,
